2025-07-16 13:40:14,517 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 13:40:16,370 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,399 [INFO] Phone migrated to 4
2025-07-16 13:40:35,599 [INFO] Reconnecting to new data center 4
2025-07-16 13:40:35,766 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 13:40:35,767 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,767 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2025-07-16 13:40:37,528 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2025-07-16 13:42:08,311 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:08,928 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:09,534 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:10,247 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:10,505 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:10,872 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:11,425 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:12,157 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:12,797 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:13,542 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:14,235 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:14,986 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:15,716 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:16,432 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:17,168 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:18,020 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:18,741 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:19,013 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:19,350 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:19,859 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:20,220 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:20,848 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:21,354 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:21,723 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:22,436 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:23,577 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:24,086 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:27,220 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:27,676 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:27,994 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:28,405 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:28,789 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:29,149 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:29,516 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:30,652 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:30,899 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:31,396 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:31,652 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:31,917 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:32,415 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:32,733 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:33,576 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:34,305 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:34,556 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:34,968 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:35,315 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:35,593 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
